study_hours,sleep_hours,attendance,previous_score,assignment_score,final_score
1,7,65,42,55,45
2,7,70,48,60,51
2.5,6,72,51,62,54
3,8,75,55,68,59
3.5,7,78,58,70,63
4,7,80,63,72,68
4.5,6,82,66,75,71
5,8,85,70,78,76
5.5,7,87,73,80,79
6,7,88,76,82,83
6.5,6,90,79,85,86
7,8,92,83,88,90
7.5,7,94,86,90,93
8,7,95,88,92,95
1.5,6,68,45,58,48
2.8,7,74,53,65,57
3.2,8,77,57,69,61
4.2,6,81,64,74,69
4.8,7,84,68,77,74
5.8,8,89,75,83,81
6.8,7,91,81,87,88
7.2,6,93,84,89,91
8.5,7,96,91,94,97
2.2,8,71,49,61,53
3.8,6,79,60,71,65
5.2,7,86,72,79,77
6.2,8,89,77,84,84
7.8,6,94,87,91,94
